date,goal3Completions,goal5Completions
2019-01-01,0,0
2019-01-02,0,0
2019-01-03,0,0
2019-01-04,0,0
2019-01-05,0,0
2019-01-06,0,0
2019-01-07,0,0
2019-01-08,0,0
2019-01-09,0,0
2019-01-10,0,0
2019-01-11,0,0
2019-01-12,0,0
2019-01-13,0,0
2019-01-14,0,0
2019-01-15,0,0
2019-01-16,0,0
2019-01-17,0,0
2019-01-18,0,0
2019-01-19,0,0
2019-01-20,0,0
2019-01-21,0,0
2019-01-22,0,0
2019-01-23,0,0
2019-01-24,0,0
2019-01-25,0,0
2019-01-26,0,0
2019-01-27,0,0
2019-01-28,4,3
2019-01-29,3,2
2019-01-30,3,7
2019-01-31,2,3
2019-02-01,0,2
2019-02-02,4,2
2019-02-03,0,1
2019-02-04,3,4
2019-02-05,3,5
2019-02-06,1,8
2019-02-07,1,4
2019-02-08,0,2
2019-02-09,0,2
2019-02-10,1,2
2019-02-11,0,1
2019-02-12,2,1
2019-02-13,1,0
2019-02-14,1,3
2019-02-15,0,3
2019-02-16,1,3
2019-02-17,0,1
2019-02-18,2,4
2019-02-19,0,2
2019-02-20,1,7
2019-02-21,0,1
2019-02-22,0,6
2019-02-23,0,2
2019-02-24,0,0
2019-02-25,3,6
2019-02-26,1,3
2019-02-27,2,4
2019-02-28,0,7
2019-03-01,2,4
2019-03-02,0,0
2019-03-03,1,2
2019-03-04,1,5
2019-03-05,2,4
2019-03-06,1,0
2019-03-07,1,0
2019-03-08,0,0
2019-03-09,0,0
2019-03-10,0,0
2019-03-11,0,2
2019-03-12,2,2
2019-03-13,0,1
2019-03-14,4,2
2019-03-15,0,0
2019-03-16,0,4
2019-03-17,1,1
2019-03-18,0,1
2019-03-19,1,3
2019-03-20,3,0
2019-03-21,1,3
2019-03-22,0,2
2019-03-23,0,1
2019-03-24,0,1
2019-03-25,0,4
2019-03-26,0,2
2019-03-27,0,2
2019-03-28,0,0
2019-03-29,0,2
2019-03-30,0,0
2019-03-31,0,1
2019-04-01,0,3
2019-04-02,0,4
2019-04-03,0,7
2019-04-04,1,4
2019-04-05,0,0
2019-04-06,2,4
2019-04-07,1,0
2019-04-08,3,0
2019-04-09,1,2
2019-04-10,2,1
2019-04-11,0,0
2019-04-12,1,1
2019-04-13,1,1
2019-04-14,0,3
2019-04-15,3,1
2019-04-16,4,0
2019-04-17,2,1
2019-04-18,0,1
2019-04-19,0,1
2019-04-20,0,0
2019-04-21,0,0
2019-04-22,0,1
2019-04-23,3,2
2019-04-24,2,1
2019-04-25,2,0
2019-04-26,3,0
2019-04-27,1,1
2019-04-28,1,1
2019-04-29,1,2
2019-04-30,1,4
2019-05-01,4,2
2019-05-02,3,1
2019-05-03,1,0
2019-05-04,1,1
2019-05-05,2,2
2019-05-06,3,0
2019-05-07,0,4
2019-05-08,0,1
2019-05-09,2,2
2019-05-10,0,2
2019-05-11,0,0
2019-05-12,0,1
2019-05-13,0,0
2019-05-14,2,1
2019-05-15,0,0
2019-05-16,1,0
2019-05-17,1,2
2019-05-18,0,0
2019-05-19,2,0
2019-05-20,3,0
2019-05-21,1,0
2019-05-22,2,0
2019-05-23,0,0
2019-05-24,1,0
2019-05-25,1,0
2019-05-26,1,1
2019-05-27,3,0
2019-05-28,5,1
2019-05-29,0,0
2019-05-30,3,0
2019-05-31,2,0
2019-06-01,1,0
2019-06-02,1,0
2019-06-03,2,0
2019-06-04,1,1
2019-06-05,0,0
2019-06-06,0,2
2019-06-07,0,0
2019-06-08,0,1
2019-06-09,0,2
2019-06-10,0,1
2019-06-11,0,0
2019-06-12,0,0
2019-06-13,1,0
2019-06-14,1,0
2019-06-15,1,1
2019-06-16,1,2
2019-06-17,1,4
2019-06-18,1,3
2019-06-19,3,2
2019-06-20,0,0
2019-06-21,4,2
2019-06-22,1,0
2019-06-23,1,0
2019-06-24,0,2
2019-06-25,3,1
2019-06-26,3,0
2019-06-27,5,1
2019-06-28,1,3
2019-06-29,1,1
2019-06-30,2,0
2019-07-01,2,3
2019-07-02,2,3
2019-07-03,1,3
2019-07-04,1,4
2019-07-05,2,0
2019-07-06,0,0
2019-07-07,0,0
2019-07-08,1,2
2019-07-09,2,2
2019-07-10,2,5
2019-07-11,2,1
2019-07-12,0,1
2019-07-13,1,3
2019-07-14,0,2
2019-07-15,0,6
2019-07-16,1,4
2019-07-17,1,1
2019-07-18,0,1
2019-07-19,1,4
2019-07-20,0,3
2019-07-21,1,2
2019-07-22,2,2
2019-07-23,1,3
2019-07-24,2,3
2019-07-25,2,2
2019-07-26,0,0
2019-07-27,0,2
2019-07-28,0,3
2019-07-29,5,1
2019-07-30,0,2
2019-07-31,0,1
2019-08-01,4,4
2019-08-02,2,4
2019-08-03,1,0
2019-08-04,4,2
2019-08-05,1,1
2019-08-06,1,2
2019-08-07,0,6
2019-08-08,4,2
2019-08-09,2,4
2019-08-10,1,1
